honoree_name,amount
no contribution,0.0
"Alumni Day honoree General Milley Woodrow Wilson Award Lecture: ""Strength Through Service,"" Gen. Mark Milley '80, chief of staff of the US Army, Lecture; lunch; reception; certificate",0.0
Tim Griffin (Check originally issued on 11/1/2013 in the amount of $1000  but was returned un-cashed on 12/12/2013 due to Member's announced retirement ),0.0
"Lehman, Kathryn",0.0
"Public talk: ""Ending the HIV/AIDS Pandemic,"" Dr. Anthony S. Fauci, Director, National Institute of Allergy & Infectious Diseases, Dinner; No award",0.0
"William Doyle, Commissioner, Federal Maritime Commission",0.0
Jon Runyan (Check originally issued on 10/3/13 in the amount of $500 but was returned un-cashed on 12/12/13 due to Members' announced retirement),0.0
"Val Neuhart, U.S. Customs & Border Protection",0.0
"""Challenges and Opportunities in an Interconnected World: A Conversation w/Admiral Michael Rogers, USN,"" G.S. Beckwith Gilbert '63 Lecture Series;
Public Lecture; Lunch, Dinner, Reception; No award",0.0
"Public talk: ""Class of 2014's Last Lecture Series,"" Rosa G. Rios, Treasurer of the United States; Reception; No award; Payee continued #6",0.0
"Brian Nillson, Director, Non-Proliferation - Export Controls, National Security Council",0.0
"Public talk: ""Gridlock vs. Common Ground: Are We Still Capable of Doing Big Things?"" Michael Huerta, Administrator of the Federal Aviation Administration; Reception; Dinner; No award",0.0
"Ambassador David Lane, US Ambassador to the United Nations Agencies for Food & Agriculture in Rome; Public & Internal Lectures over 3 days; breakfasts; lunches; meetings; over 250 attended; no award",0.0
"'She Roars' alumni 3 day conference with over 3,300 attending to celebrate women at Princeton; Rep. Terri Sewell (AL-D-7th), featured breakfast speaker; over 1,000 attended; no award",0.0
Pat Tiberi - refunded Brian Hicks $300,0.0
"Braeden Young, Brazil Desk Officer, International Trade Administration, U.S. Department of Commerce",0.0
"John Leonard, Acting Executive Director, Trade Policy & Programs, U.S Customs and Border Protection",0.0
Daniel Fellenbaum,0.0
"Reunions Panel:""Are Financial Institutions Too Big or Too Big to Fail?,""Martin Gruenberg'75,Chairman, Federal Deposit Insurance Corporation,& 3 other alumni;Reception (550),notebook,flashdrive,poster*",0.0
"Bill Delansky, Branch Chief, Multi-Modal Manifest, Cargo Control and Release - U.S. Customs and Border Protection",0.0
NATAPAC,0.0
"Alumni Day honoree General Milley Woodrow Wilson Award Lecture: ""Strength Through Service,"" Gen. Mark Milley '80, chief of staff of the US Army, Lecture; lunch; reception; certificate; Payee continued",0.0
"Ben Bernanke,Chairman of the Board of Governors of the US Federal Reserve and former Chair, economics department at Princeton University, speaker for the 2013 Baccalaureate ceremony.",0.0
"Commencement Ceremony: Honorary Doctor of Science degree recipient Dr. Francis Collins, Director of the National Institutes of Health",0.0
"Commencement Ceremony: Honorary Doctor of Science degree recipient Dr. Francis Collins, Director of the National Institutes of Health. Payee continued #7",0.0
"Commencement Ceremony: Honorary Doctor of Science degree recipient Dr. Francis Collins, Director of the National Institutes of Health. Payee continued #8",0.0
"2014 Princeton Varsity Club Awards Banquet honoring Varsity student athletes,alumni &others Richard Stengel '77,Under Secretary for Public Diplomacy & Public Affairs;Dinner for 650;Pewter Plaque $422.",0.0
"Dr. Pamela Simpson, Animal Plant and Health Inspection Service, U.S.D.A",0.0
0,0.0
"Public talk: ""Class of 2014's Last Lecture Series,"" Rosa G. Rios, Treasurer of the United States; Reception; No award",0.0
"Maryanne Carney, U.S. Customs and Border Protection, Port of New York, U.S. Department of Homeland Security",0.0
"""50 Years of the National Endowment for the Humanities,"" William D. Adams, Chairman, National Endowment for the Humanities: Public Panel Discussion; Lunch; Dinner; Reception; No award",0.0
"Domenic Veneziano, Director, Division of Import Operations and Policy, U.S. FDA",0.0
No contributions,0.0
Carmen Johnson,0.08
john shimkus,0.5
MN-06 2018 Democratic Nominee Fund,1.0
AL-03 2018 Democratic Nominee Fund,1.0
CA-25 2018 Democratic Nominee Fund,1.0
ActBlue Charities Tips,1.0
Claudette Williams,1.0
VA-01 2018 Democratic Nominee Fund,1.0
Ann Marie Mitchell,1.0
CA-39 2018 Democratic Nominee Fund,1.0
Michele Knoll,1.0
MN-03 2018 Democratic Nominee Fund,1.0
CA-49 2018 Democratic Nominee Fund,1.0
AK-AL 2018 Democratic Nominee Fund,1.0
MI-03 2018 Democratic Nominee Fund,1.0
IL-06 2018 Democratic Nominee Fund,1.0
ActBlue Technical Tips,1.0
Valerie Ramirez Mukherjee,1.0
Jason Hayes,1.0
CO-06 2018 Democratic Nominee Fund,1.0
IL-16 2018 Democratic Nominee Fund,1.0
CO-03 2018 Democratic Nominee Fund,1.0
WA-08 2018 Democratic Nominee Fund,1.0
NE-01 2018 Democratic Nominee Fund,1.0
