Registrant Name,amount
LAFAYETTE GROUP,0.0
"HADASSAH, THE WOMEN'S ZIONIST ORGANIZATION OF AMERICA, INC.",1.0
JOHNSON FOOD AND BEVERAGE CONSULTING,4.0
MR. IAN FERGUSON,5.0
WESTERN ORGANIZATION OF RESOURCE COUNCILS,5.0
ALBANIAN AMERICAN COUNCIL,10.0
MR. ALEXANDER LEVINE,19.759999999999998
"ACTIVE POLICY SOLUTIONS, LLC",20.0
AMERICAN PUBLIC WORKS ASSOCIATION,20.0
THE MARINE RETAILERS ASSOCIATION OF THE AMERICAS,21.55
MEDICAL GROUP MANAGEMENT ASSN,25.0
NATIONAL WIC ASSOCIATION (NWA),25.0
"DIGITAL ASSET AFFAIRS, LLC",25.0
"WEST HARLEM ENVIRONMENTAL ACTION, INC.",25.0
"MUSEUM OF SCIENCE, BOSTON",25.0
LEAGUE OF WOMEN VOTERS OF THE U.S.,25.0
NATIONAL ASSOCIATION FOR COLLEGE ADMISSION COUNSELING,25.0
ALLIANCE MANAGEMENT GROUP,25.0
"COMMUNITIES IN SCHOOLS, INC.",25.0
"RW MCKINNEY, LLC",25.0
MS. ROBERTA VALENTE,35.0
DAIKIN U.S. CORPORATION,35.0
"MATCH GROUP, INC.",35.0
NATIONAL DOMESTIC VIOLENCE HOTLINE,38.0
CENTER FOR LAW AND SOCIAL POLICY (CLASP),38.16
AMERICAN COLLEGE OF PREVENTIVE MEDICINE,39.75
NATIONAL COUNCIL OF NONPROFITS (FORMERLY KNOWN AS THE NATIONAL COUNCIL OF NONPRO,41.7
NATIONAL FAMILY PLANNING AND REPRODUCTIVE HEALTH ASSOCIATION,43.0
"GROSS & WELCH, P.C., L.L.O.",50.0
FEED THE CHILDREN,50.0
"HUDSON HOLLISTER, LLC",50.0
SML CONSULTING,50.0
CALIFORNIA SPECIAL DISTRICTS ASSOCIATION,50.0
ETIHAD AIRWAYS PJSC,50.0
"THE TOMHAVE GROUP, INC.",50.0
EXHIBITIONS & CONFERENCES ALLIANCE,50.0
AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY,50.0
CORUS FEDERAL STRATEGIES,50.0
THE METROHEALTH SYSTEM,50.0
NATIONAL HEAD START ASSOCIATION,50.0
"AEREO, INC.",50.0
"NATIONAL ASSOCIATION OF POLICE ORGANIZATIONS, INC.",50.0
NATIONAL PSORIASIS FOUNDATION,50.0
WILLKIE FARR & GALLAGHER LLP,50.0
"HITACHI, LTD",50.0
NATIONAL AFFORDABLE HOUSING MANAGEMENT ASSOCIATION (NAHMA),53.0
EWSA,55.0
"CENTER FOR INQUIRY, INC. OFFICE OF PUBLIC POLICY",65.0
NURSE-FAMILY PARTNERSHIP COLORADO,69.08
MS. SONIA LIN,70.0
NATIONAL ASSOCIATION OF STUDENT FINANCIAL AID ADMINISTRATORS,70.0
FRANCO ENVIRONMENTAL LAW LLC,71.0
NATIONAL COOPERATIVE BUSINESS ASSOCIATION,72.0
"MG CONSULTING, LLC",75.0
NEW VENTURE FUND,75.0
COALITION ON HUMAN NEEDS,75.0
BOATU.S.,75.0
"UNIVERSITY HOSPITAL-NEWARK, NEW JERSEY",75.0
"RAPE, ABUSE & INCEST NATIONAL NETWORK",75.0
"GREENPEACE, INC.",75.0
AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,81.0
BRAIN INJURY ASSOCIATION OF AMERICA (FKA BRAIN INJURY ASSOCIATION),90.0
