Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
157,G000598,"Garcia, Robert",Democratic,California,https://api.congress.gov/v3/member/G000598?format=json,42.0,,,2023.0,,,Y,,0.0,N,Y,U,123.0
2475,G000047,"Garcia, Robert",Democratic,New York,https://api.congress.gov/v3/member/G000047?format=json,18.0,,,1977.0,1991.0,,N,,14.0,N,Y,U,123.0
2251,L000096,"Largent, Steve",Republican,Oklahoma,https://api.congress.gov/v3/member/L000096?format=json,1.0,,,1993.0,2002.0,,N,,9.0,N,Y,U,17.0
2252,L000090,"Lantos, Tom",Democratic,California,https://api.congress.gov/v3/member/L000090?format=json,12.0,,,1981.0,2008.0,,N,,27.0,N,Y,U,360.0
2253,L000054,"Landrum, Phil M.",Democratic,Georgia,https://api.congress.gov/v3/member/L000054?format=json,9.0,,,1953.0,1977.0,,N,,24.0,N,Y,U,19.0
2254,L000049,"Landgrebe, Earl F.",Republican,Indiana,https://api.congress.gov/v3/member/L000049?format=json,2.0,,,1969.0,1975.0,,N,,6.0,N,Y,U,36.0
2255,L000045,"Lancaster, H. Martin",Democratic,North Carolina,https://api.congress.gov/v3/member/L000045?format=json,3.0,,,1987.0,1995.0,,N,,8.0,N,Y,U,30.0
2256,L000552,"LaHood, Ray",Republican,Illinois,https://api.congress.gov/v3/member/L000552?format=json,18.0,,,1995.0,2009.0,,N,,14.0,N,Y,U,103.0
2257,L000020,"Lagomarsino, Robert J.",Republican,California,https://api.congress.gov/v3/member/L000020?format=json,19.0,,,1973.0,1993.0,,N,,20.0,N,Y,U,350.0
2258,L000556,"LaFalce, John J.",Democratic,New York,https://api.congress.gov/v3/member/L000556?format=json,29.0,,,1975.0,2003.0,,N,,28.0,N,Y,U,580.0
2259,K000356,"Kyros, Peter N.",Democratic,Maine,https://api.congress.gov/v3/member/K000356?format=json,1.0,,,1967.0,1975.0,,N,,8.0,N,Y,U,57.0
2260,K000352,"Kyl, Jon",Republican,Arizona,https://api.congress.gov/v3/member/K000352?format=json,,2013.0,1995.0,1987.0,1995.0,N,N,18.0,8.0,Y,Y,U,774.0
2261,K000348,"Kuykendall, Dan H.",Republican,Tennessee,https://api.congress.gov/v3/member/K000348?format=json,8.0,,,1967.0,1975.0,,N,,8.0,N,Y,U,25.0
2262,K000328,"Kreidler, Mike",Democratic,Washington,https://api.congress.gov/v3/member/K000328?format=json,9.0,,,1993.0,1995.0,,N,,2.0,N,Y,U,25.0
2263,K000325,"Krebs, John H.",Democratic,California,https://api.congress.gov/v3/member/K000325?format=json,17.0,,,1975.0,1979.0,,N,,4.0,N,Y,U,48.0
2264,K000322,"Kramer, Ken",Republican,Colorado,https://api.congress.gov/v3/member/K000322?format=json,5.0,,,1979.0,1987.0,,N,,8.0,N,Y,U,57.0
2265,K000319,"Kostmayer, Peter H.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/K000319?format=json,8.0,,,1977.0,1981.0,,N,,4.0,N,Y,U,158.0
2266,K000312,"Kopetski, Mike",Democratic,Oregon,https://api.congress.gov/v3/member/K000312?format=json,5.0,,,1991.0,1995.0,,N,,4.0,N,Y,U,37.0
2267,K000309,"Konnyu, Ernest L.",Republican,California,https://api.congress.gov/v3/member/K000309?format=json,12.0,,,1987.0,1989.0,,N,,2.0,N,Y,U,7.0
2268,K000307,"Kolter, Joseph P.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/K000307?format=json,4.0,,,1983.0,1993.0,,N,,10.0,N,Y,U,57.0
2269,K000304,"Kogovsek, Ray",Democratic,Colorado,https://api.congress.gov/v3/member/K000304?format=json,3.0,,,1979.0,1985.0,,N,,6.0,N,Y,U,48.0
2270,K000302,"Koch, Edward I.",Democratic,New York,https://api.congress.gov/v3/member/K000302?format=json,18.0,,,1969.0,1979.0,,N,,10.0,N,Y,U,649.0
2271,K000288,"Knollenberg, Joe",Republican,Michigan,https://api.congress.gov/v3/member/K000288?format=json,9.0,,,1993.0,2009.0,,N,,16.0,N,Y,U,101.0
2272,K000274,"Klug, Scott L.",Republican,Wisconsin,https://api.congress.gov/v3/member/K000274?format=json,2.0,,,1991.0,1999.0,,N,,8.0,N,Y,U,60.0
2273,K000273,"Kluczynski, John C.",Democratic,Illinois,https://api.congress.gov/v3/member/K000273?format=json,5.0,,,1951.0,1977.0,,N,,26.0,N,Y,U,8.0
2274,K000270,"Klink, Ron",Democratic,Pennsylvania,https://api.congress.gov/v3/member/K000270?format=json,4.0,,,1993.0,2001.0,,N,,8.0,N,Y,U,64.0
2275,K000262,"Klein, Herbert C.",Democratic,New Jersey,https://api.congress.gov/v3/member/K000262?format=json,8.0,,,1993.0,1995.0,,N,,2.0,N,Y,U,17.0
2276,K000259,"Kleczka, Gerald D.",Democratic,Wisconsin,https://api.congress.gov/v3/member/K000259?format=json,4.0,,,1983.0,2005.0,,N,,22.0,N,Y,U,130.0
2277,K000220,"Kingston, Jack",Republican,Georgia,https://api.congress.gov/v3/member/K000220?format=json,1.0,,,1993.0,2015.0,,N,,22.0,N,Y,U,103.0
2278,K000210,"King, Peter T.",Republican,New York,https://api.congress.gov/v3/member/K000210?format=json,2.0,,,1993.0,2021.0,,N,,28.0,N,Y,U,400.0
2279,K000195,"King, Carleton J.",Republican,New York,https://api.congress.gov/v3/member/K000195?format=json,29.0,,,1961.0,1975.0,,N,,14.0,N,Y,U,40.0
2280,K000190,"Kindness, Thomas N.",Republican,Ohio,https://api.congress.gov/v3/member/K000190?format=json,8.0,,,1975.0,1987.0,,N,,12.0,N,Y,U,89.0
2281,K000181,"Kim, Jay",Republican,California,https://api.congress.gov/v3/member/K000181?format=json,41.0,,,1993.0,1999.0,,N,,6.0,N,Y,U,31.0
2282,K000172,"Kildee, Dale E.",Democratic,Michigan,https://api.congress.gov/v3/member/K000172?format=json,5.0,,,1977.0,2013.0,,N,,36.0,N,Y,U,283.0
2283,K000162,"Keys, Martha E.",Democratic,Kansas,https://api.congress.gov/v3/member/K000162?format=json,2.0,,,1975.0,1979.0,,N,,4.0,N,Y,U,84.0
2284,K000153,"Ketchum, William M.",Republican,California,https://api.congress.gov/v3/member/K000153?format=json,18.0,,,1973.0,1979.0,,N,,6.0,N,Y,U,175.0
2285,K000118,"Kennelly, Barbara B.",Democratic,Connecticut,https://api.congress.gov/v3/member/K000118?format=json,1.0,,,1981.0,1999.0,,N,,18.0,N,Y,U,201.0
2286,K000113,"Kennedy, Patrick J.",Democratic,Rhode Island,https://api.congress.gov/v3/member/K000113?format=json,1.0,,,1995.0,2011.0,,N,,16.0,N,Y,U,175.0
2287,K000110,"Kennedy, Joseph P., II",Democratic,Massachusetts,https://api.congress.gov/v3/member/K000110?format=json,8.0,,,1987.0,1999.0,,N,,12.0,N,Y,U,205.0
2288,K000086,"Kemp, Jack",Republican,New York,https://api.congress.gov/v3/member/K000086?format=json,31.0,,,1971.0,1989.0,,N,,18.0,N,Y,U,505.0
2289,K000078,"Kelly, Sue W.",Republican,New York,https://api.congress.gov/v3/member/K000078?format=json,19.0,,,1995.0,2007.0,,N,,12.0,N,Y,U,157.0
2290,K000077,"Kelly, Richard",Republican,Florida,https://api.congress.gov/v3/member/K000077?format=json,5.0,,,1975.0,1981.0,,N,,6.0,N,Y,U,41.0
2291,K000037,"Keating, William J.",Republican,Ohio,https://api.congress.gov/v3/member/K000037?format=json,1.0,,,1971.0,1975.0,,N,,4.0,N,Y,U,40.0
2292,K000025,"Kazen, Abraham, Jr.",Democratic,Texas,https://api.congress.gov/v3/member/K000025?format=json,23.0,,,1967.0,1985.0,,N,,18.0,N,Y,U,73.0
2293,K000020,"Kastenmeier, Robert W.",Democratic,Wisconsin,https://api.congress.gov/v3/member/K000020?format=json,2.0,,,1959.0,1991.0,,N,,32.0,N,Y,U,535.0
2294,K000019,"Kasten, Robert W., Jr.",Republican,Wisconsin,https://api.congress.gov/v3/member/K000019?format=json,,1993.0,1981.0,1975.0,1979.0,N,N,12.0,4.0,Y,Y,U,434.0
2295,K000016,"Kasich, John R.",Republican,Ohio,https://api.congress.gov/v3/member/K000016?format=json,12.0,,,1983.0,2001.0,,N,,18.0,N,Y,U,130.0
2296,K000014,"Karth, Joseph E.",Democratic,Minnesota,https://api.congress.gov/v3/member/K000014?format=json,4.0,,,1959.0,1977.0,,N,,18.0,N,Y,U,98.0
2297,K000009,"Kaptur, Marcy",Democratic,Ohio,https://api.congress.gov/v3/member/K000009?format=json,9.0,,,1983.0,,,Y,,40.0,N,Y,U,481.0
2298,K000008,"Kanjorski, Paul E.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/K000008?format=json,11.0,,,1985.0,2011.0,,N,,26.0,N,Y,U,258.0
2299,J000266,"Jordan, Barbara",Democratic,Texas,https://api.congress.gov/v3/member/J000266?format=json,18.0,,,1973.0,1979.0,,N,,6.0,N,Y,U,40.0
2300,J000265,"Jontz, Jim",Democratic,Indiana,https://api.congress.gov/v3/member/J000265?format=json,5.0,,,1987.0,1993.0,,N,,6.0,N,Y,U,53.0
2301,J000255,"Jones, Walter B., Jr.",Republican,North Carolina,https://api.congress.gov/v3/member/J000255?format=json,3.0,,,1995.0,2019.0,,N,,24.0,N,Y,U,288.0
