Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
251,C000721,"Cook, Marlow W.",Republican,Kentucky,https://api.congress.gov/v3/member/C000721?format=json,,1975.0,1967.0,,,U,45.0
252,G000552,"Gohmert, Louie",Republican,Texas,https://api.congress.gov/v3/member/G000552?format=json,1.0,,,2005.0,2023.0,M,194.0
253,B001251,"Butterfield, G. K.",Democratic,North Carolina,https://api.congress.gov/v3/member/B001251?format=json,1.0,,,2004.0,2022.0,M,134.0
254,R000577,"Ryan, Tim",Democratic,Ohio,https://api.congress.gov/v3/member/R000577?format=json,13.0,,,2003.0,2023.0,U,217.0
255,L000559,"Langevin, James R.",Democratic,Rhode Island,https://api.congress.gov/v3/member/L000559?format=json,2.0,,,2001.0,2023.0,U,318.0
256,C000754,"Cooper, Jim",Democratic,Tennessee,https://api.congress.gov/v3/member/C000754?format=json,5.0,,,1983.0,1995.0,U,144.0
257,C000266,"Chabot, Steve",Republican,Ohio,https://api.congress.gov/v3/member/C000266?format=json,1.0,,,1995.0,2009.0,U,289.0
258,B001135,"Burr, Richard",Republican,North Carolina,https://api.congress.gov/v3/member/B001135?format=json,,2023.0,2005.0,1995.0,2005.0,M,659.0
259,D000482,"Doyle, Michael F.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/D000482?format=json,18.0,,,1995.0,2022.0,U,104.0
260,D000191,"DeFazio, Peter A.",Democratic,Oregon,https://api.congress.gov/v3/member/D000191?format=json,4.0,,,1987.0,2023.0,U,599.0
261,L000265,"Levitas, Elliott H.",Democratic,Georgia,https://api.congress.gov/v3/member/L000265?format=json,4.0,,,1975.0,1985.0,U,263.0
262,K000306,"Kolbe, Jim",Republican,Arizona,https://api.congress.gov/v3/member/K000306?format=json,8.0,,,1985.0,2007.0,U,181.0
263,J000126,"Johnson, Eddie Bernice",Democratic,Texas,https://api.congress.gov/v3/member/J000126?format=json,30.0,,,1993.0,2023.0,U,347.0
264,I000024,"Inhofe, James M.",Republican,Oklahoma,https://api.congress.gov/v3/member/I000024?format=json,,2023.0,1994.0,1987.0,1995.0,M,1297.0
265,H000878,"Hubbard, Carroll, Jr.",Democratic,Kentucky,https://api.congress.gov/v3/member/H000878?format=json,1.0,,,1975.0,1993.0,U,79.0
266,H000624,"Hillis, Elwood H.",Republican,Indiana,https://api.congress.gov/v3/member/H000624?format=json,5.0,,,1971.0,1987.0,U,160.0
267,S001221,"Scholten, Hillary J.",Democratic,Michigan,https://api.congress.gov/v3/member/S001221?format=json,3.0,,,2023.0,,U,2.0
268,J000309,"Jackson, Jonathan L.",Democratic,Illinois,https://api.congress.gov/v3/member/J000309?format=json,1.0,,,2023.0,,U,
269,R000617,"Ramirez, Delia C.",Democratic,Illinois,https://api.congress.gov/v3/member/R000617?format=json,3.0,,,2023.0,,U,1.0
270,C001130,"Crockett, Jasmine",Democratic,Texas,https://api.congress.gov/v3/member/C001130?format=json,30.0,,,2023.0,,F,1.0
271,S001223,"Sykes, Emilia Strong",Democratic,Ohio,https://api.congress.gov/v3/member/S001223?format=json,13.0,,,2023.0,,U,
272,M000687,"Mfume, Kweisi",Democratic,Maryland,https://api.congress.gov/v3/member/M000687?format=json,7.0,,,1987.0,1997.0,U,71.0
273,L000592,"Levin, Andy",Democratic,Michigan,https://api.congress.gov/v3/member/L000592?format=json,9.0,,,2019.0,2023.0,M,88.0
274,Y000067,"Yakym, Rudy",Republican,Indiana,https://api.congress.gov/v3/member/Y000067?format=json,2.0,,,2022.0,,U,1.0
275,T000480,"Timmons, William R. IV",Republican,South Carolina,https://api.congress.gov/v3/member/T000480?format=json,4.0,,,2019.0,,M,17.0
276,S001219,"Sempolinski, Joseph",Republican,New York,https://api.congress.gov/v3/member/S001219?format=json,23.0,,,2022.0,2023.0,M,1.0
277,R000579,"Ryan, Patrick",Democratic,New York,https://api.congress.gov/v3/member/R000579?format=json,18.0,,,2022.0,,M,3.0
278,P000619,"Peltola, Mary Sattler",Democratic,Alaska,https://api.congress.gov/v3/member/P000619?format=json,,,,2022.0,,F,13.0
279,M001215,"Miller-Meeks, Mariannette",Republican,Iowa,https://api.congress.gov/v3/member/M001215?format=json,1.0,,,2021.0,,F,38.0
280,F000473,"Flores, Mayra",Republican,Texas,https://api.congress.gov/v3/member/F000473?format=json,34.0,,,2022.0,2023.0,U,2.0
281,F000474,"Flood, Mike",Republican,Nebraska,https://api.congress.gov/v3/member/F000474?format=json,1.0,,,2022.0,,U,1.0
282,F000475,"Finstad, Brad",Republican,Minnesota,https://api.congress.gov/v3/member/F000475?format=json,1.0,,,2022.0,,M,8.0
