honoree_name,amount
Rep. Edwin George Perlmutter,-10000.0
Sen. Amy Jean Klobuchar,-1500.0
Rep. Pete Stauber,-1500.0
Rep. Joe Neguse,0.0
Representative Liz Cheney,10.0
AFGE,13.0
In Kind for Veronica Escobar,15.97
In Kind for Van Taylor,15.97
In Kind for Michael Cloud,15.97
In Kind for Michael Burgess,15.97
In Kind for Elizabeth Fletcher,15.97
Monica Tranel for Congress,25.0
Andrea Salinas for Congress,25.0
U.S. Representative Mayra Flores (TX-34),25.0
Saira Draper,25.0
Annette Taddeo,25.0
Cong. Liz Cheney,25.0
Cong Marcy Kaptur,25.0
McMaster for Congress,25.0
McMaster for Governor,25.0
Cong. Don Beyer,25.0
In Kind for Henry Cuellar,26.509999999999998
CBAI Fed Pac,31.25
Annie Andrews,33.6
The Hon. Marco Rubio,35.0
Senate Republican Candidates,45.0
Sen Patty Murray and WA State Democrats,46.0
Cong Elaine Luria,50.0
Tea Party Action,50.0
Kelly for Senate,50.0
Cong. Val Demings,50.0
Robert May,50.0
PA Lt. Gov John Fetterman,50.0
US Rep Lauren Underwood,50.0
Representative Joe Courtney,50.0
ARMSTRONG COUNTY DEMOCRATIC COMMITTEE,50.0
Citizens for Boyle,50.0
Kristi for Governor,50.5
Heather Mizuer,55.0
Jared Polis for Colorado,58.0
Josh Thomas,75.0
504PAC,75.0
Dwight Evans for Congress,100.0
Jerry Dickinson,100.0
The Hon. Nicole Malliotakis,100.0
ICBPAC,100.0
Hung Cao for Congress,100.0
Madison Gesiotto Gilbert,100.0
Gretchen Whitmer and Garlin Gilchrist,100.0
Marcus Flowers,100.0
Senator Murray,100.0
Courtney to Congress,100.0
National Restaurant Association,100.0
Rep. Stansbury,100.0
Senator Tammy Duckworth (D-IL),100.0
Lucas Kunce,100.0
Alexandra Hunt for Congress,100.0
Quay Quartey,100.0
Brady Duke for Congress,100.0
Brian Schwalb,100.0
Rep. Neguse,100.0
Steve Bullock,100.0
Jay Collin for Congress,100.0
Stand with Gabby Giffords,100.0
Michigan Senate Democrats and Democratic Legislative Campaign Committee,100.0
New Georgia Project Action Fund,100.0
Sean Melloy,100.0
Dunkin' PAC (C00431544),100.0
Katie Curran O'Malley for Maryland,100.0
Langworthy for Congress,100.0
Kean for Congress Inc.,100.0
Indivisible Action,100.0
ActBlue - Shapiro for Governor,100.0
Inspire PAC (C00492157),100.0
National Cotton Council Committee for the Advancement of Cotton,100.0
Jonathan Madison,100.0
ActBlue Federal Tips,100.0
ActBlue - Bhavini Patel,100.0
Hon. Liz Cheney,100.0
The Honorable Liz Cheney,100.0
Josh Shapiro,100.0
Matt Muchowski,105.0
AFGEPAC,120.0
American Bus Association - BusPAC,120.0
ACSPA-SurgeonsPAC,125.0
Rep. Richard Neal (D-MA),125.0
Rep. Joyce Beatty (D-OH),125.0
The Honorable Richard Neal,145.0
Representative Jahana Hayes,147.06
Representative Abigail Spanberger,147.06
Representative Jennifer Wexton,147.06
Representative Kathy Manning,147.06
Chrissy Houlihan,147.06
Jen Kiggans (VA-02),150.0
Becca Balint for Congress,150.0
Eugene DePasquale,150.0
Connecticut Democratic Party,150.0
Delia Ramirez for Congress,150.0
Conor Lamb for Senate,150.0
Ethan Felder,150.0
Raising Our Future PAC,150.0
Congressman Dan Meuser,150.0
American Veterinary Medical Association Political Action Committee,157.10000000000002
Rep. Mickie Sherrill,166.66
Katie Porter,175.0
AFGE endorsed candidates,180.0
DCCC - BHFS Reception,200.0
Russell Fry,200.0
U.S. Representative Don Young (AK At-Large),200.0
American Pharmacists Association PAC,200.0
Jevin D. Hodge,200.0
Jill Homan,200.0
Jennifer Cisneros,200.0
Riley,200.0
Florida Farm Bureau Federation FedPAC,200.0
Hon. Tim Scott,200.0
"Sean Meloy, Democratic Primary Candidate PA-17",200.0
The National Right to Work Committee PAC,200.0
Ellen for Education,200.0
Land O'Lakes,200.0
Sen. Michael Bennet (via the CO Democratic Party),200.0
Muriel Bowser,200.0
Friends of Chris Carr,200.0
ActBlue,200.0
WASHINGTON-GREENE CLC,200.0
Lucas Kunce for Senate,200.0
Representative Rusty Roberts,200.0
"Chuck Edwards, Candidate for U.S. House of Representatives",200.0
Jane HJope Hamilton,200.0
Sean Meloy,200.0
CornPAC,203.0
Tom Winter,225.0
Montgomery County Democratic Party,225.0
Glenn Kaplan,234.0
TEPAC,240.0
Gabe Vasquez for Congress,250.0
"Luke Holland, S OK",250.0
Bhavini Patel,250.0
Brittany Petterson,250.0
Betty McCullum,250.0
Congressman Brett Guthrie,250.0
Representative Byron Donalds,250.0
"Richard Hudson, H NC-9",250.0
Former Rep. Bruce Poliquin,250.0
Rep Young Kim,250.0
The Honorable Shelley Moore Capito,250.0
Representative Gabe Vasquez,250.0
Rep. Brad Wenstrup (R-OH-02),250.0
The Honorable Ron Estes,250.0
Brendan,250.0
Representative Teresa Leger Fernandez,250.0
Rep. Andrea Salinas,250.0
Brady Duke,250.0
The Honorable Annie Kuster,250.0
Rep. Alma Adams (D-NC-12),250.0
"Representative Raul Ruiz, MD",250.0
The Honorable Andrea Salinas,250.0
Rep. Angie Craig (MN-2nd),250.0
Representative Mike Garcia,250.0
The Honorable James Lankford,250.0
Country First PAC,250.0
Lieutenant Governor John Fetterman,250.0
Rep. Brad Sherman,250.0
The Hon. Warren Davidson,250.0
Representative Harold Rogers,250.0
Laurel Anne Imer,250.0
Billy Long for Senate,250.0
The Honorable John Kennedy,250.0
Lee Zeldin for Governor,250.0
Committee to Elect Bill Herbkersman,250.0
Candidate Robert Garcia,250.0
Palazzo for Congress,250.0
Candidate Molly Gray,250.0
DrillersPAC,250.0
Mr. John James,250.0
Candidate Karina Lipsman,250.0
"Cheney, Liz",250.0
Candidate for Oregon Sixth Congressional District,250.0
Candidate John James (R-MI),250.0
Candidate Esther Joy King,250.0
Moore Capito for WV,250.0
Moolenaar For Congress,250.0
Senator Cynthia Lummis,250.0
Sean Malloy,250.0
Montana Democratic Party,250.0
Monica de La Cruz,250.0
Candidate Jevin Hodge,250.0
Charles Booker,250.0
Sen. Chris Murphy,250.0
Mr. Wes Hunt,250.0
Sen. John Boozeman,250.0
Devan Barbour,250.0
Don Davis for NC,250.0
Sen. Jacky Rosen (D-NV),250.0
Don Samuels,250.0
Nomino Konstantinos for NY Senate,250.0
Sen. Grassley,250.0
Sen. Patrick Leahy,250.0
Sen. Patrick Leahy (D-VT),250.0
Nathaniel for Congress,250.0
Nanette Barragain,250.0
Nan Whaley,250.0
Ms. Tanya Wheeless,250.0
Carlos Pereira for Doral City Council,250.0
Sen. Stephanie Chang,250.0
Carlina Rivera,250.0
Mr. Wesley Hunt,250.0
Senator Kirsten Gillibrand,250.0
Marc Molinaro (R-NY); Candidate,250.0
Scott Pruitt,250.0
Molly Gray for Vermont,250.0
"Reagan Dunn, Candidate for US Congress",250.0
Stu Barnes Israel; Candidate for Congress (R-IN),250.0
Support for Congressman Brian Fitzpatrick,250.0
Suraj Patel,250.0
Eric Sorensen,250.0
McKinley for Congress,250.0
CANDIDATE VINCE PETERSON,250.0
Congresswoman Linda Sanchez,250.0
Rep August Pfluger (R-TX),250.0
Daniel Hernandez for Congress,250.0
Mary Peltola,250.0
Fallon for Congress,250.0
Daniel Hernandez,250.0
TXOGA PAC,250.0
Team Herschel People's Champion Committee,250.0
DRILLERSPAC,250.0
"Mayor Kate Gallego, D - Phoenix, AZ",250.0
Eric Lesser,250.0
Eric Esshacki,250.0
Steve Palazo,250.0
Molly Gray - VT-AL candidate,250.0
Poliquin for Congress,250.0
Eddie Rodriguez for Congress,250.0
PowerPAC,250.0
Edison Electric Institute Political Action Committee,250.0
Senator Warnock,250.0
Quay Quartay,250.0
Sarah Crawford,250.0
Shay Hawkns,250.0
Eli Bremer,250.0
Sang Yi,250.0
Elise Stefanik for Congress,250.0
SkinPAC,250.0
Mike France,250.0
State Senator Brittany Pettersen,250.0
Michigan Senate Democrats,250.0
Steve Descano,250.0
Pete Aguilar for Congress,250.0
Tom Perez,250.0
"Nikki Budzinski, US Candidate for US Congress",250.0
Joshua Riley,250.0
Rep. Sean Patrick Maloney (D-NY),250.0
Congresswoman Alissa Slotkin,250.0
Rep. Lori Trahan(MA-3rd),250.0
Ashley Hinson for Congress,250.0
"U.S. Senator Lisa Murkowski, Alaska",250.0
Amanda Adkins for Congress,250.0
Gregory Holmes,250.0
Joy Fox for Congress,250.0
Amanda Makki (candidate for FL-13 district),250.0
Rep. Kat Cammack of Florida,250.0
Vermont Lieutenant Governor Molly Gray,250.0
Heather Mizeeur,250.0
Rep. Ron Estes (R-4th KS),250.0
Rep. Lofgren,250.0
"Balint, Becca",250.0
Congressman Pete Sessions,250.0
Act Blue Lori Trahan,250.0
Katie Britt (candidate for AL Senate seat),250.0
Hon. Bob Menendez,250.0
"Jane Timken (US Senate candidate, OH)",250.0
Adam Kinzinger,250.0
Congressman Steve Chabot,250.0
U.S. House Candidate Derrick Van Orden,250.0
Justice Democrats,250.0
Jake LaTurner for Congress,250.0
Josh Rile,250.0
Rep. Marie Newman,250.0
Karina Lipsman,250.0
Andrew Kalloch,250.0
"John James (candidate for MI-10, district)",250.0
Rep. Letlow,250.0
Rep. Tom Emmer (R-MN),250.0
U.S. Senator Gary Peters,250.0
"John Boozman, S AR",250.0
Kevin Kiley,250.0
Hon. Gerry Connolly,250.0
Jazz Lewis Democrat for Congress,250.0
Rep. Karen Bass,250.0
Rep. Mike D. Rogers,250.0
"Georgia Chamber Political Affairs Council, Inc.",250.0
Rep. Garbarino,250.0
Greg Casar for Congress,250.0
U.S. Senator Michael Bennet of Colorado,250.0
Jerry Dickenson,250.0
Jim Lamon,250.0
Rep. Jake Ellzey,250.0
House Candidate for Tennessee Kurt Winstead,250.0
Attorney General Lawrence Wasden,250.0
"Congressman Henry C. ""Hank"" Johnson, Jr.",250.0
Jennifer-Ruth Green,250.0
Kevin Morrison,250.0
Jenn Higgins,250.0
Rep. Mike Waltz,250.0
Zach Walls,250.0
Tonya Wheeless,250.0
