amount,contributor_name,date,honoree_name,state,country
500.00,"BRAIN, CHARLES M",2013-02-28,Rep Ron Kind,DC,US
1000.00,"BRAIN, CHARLES M",2013-03-20,Sen Michael Bennett,DC,US
500.00,"BRAIN, CHARLES M",2013-02-27,Rep Ron Kind,DC,US
1000.00,"BRAIN, CHARLES M",2013-06-04,Rep Ed Markey,DC,US
1000.00,"BRAIN, CHARLES M",2013-03-29,Rep Steve Israel,DC,US
1000.00,"BRAIN, CHARLES M",2013-06-18,Rep Steny Hoyer,DC,US
500.00,"BRAIN, CHARLES M",2013-03-20,Rep Annie Kuster,DC,US
150.00,"BRAIN, CHARLES M",2013-03-20,Rep. Denny Heck,DC,US
350.00,"BRAIN, CHARLES M",2013-03-20,Rep Denny Heck,DC,US
850.00,"BRAIN, CHARLES M",2013-03-20,Sen Brian Schatz,DC,US
500.00,"BRAIN, CHARLES M",2013-01-24,Sen. Jeanne Shaheen,DC,US
500.00,"BRAIN, CHARLES M",2013-02-11,Sen. Mark Warner,DC,US
500.00,"BRAIN, CHARLES M",2013-06-24,Rep Bill Pascrell,DC,US
500.00,"BRAIN, CHARLES M",2013-06-24,Rep Jim McGovern,DC,US
500.00,"BRAIN, CHARLES M",2013-03-19,Rep Linda Sanchez,DC,US
1000.00,"BRAIN, CHARLES M",2013-03-10,Sen. Jeanne Shaheen,DC,US
150.00,"BRAIN, CHARLES M",2013-03-15,Sen Brian Schatz,DC,US
500.00,"BRAIN, CHARLES M",2013-03-20,Rep John Larson,DC,US
500.00,"BRAIN, CHARLES M",2013-03-20,Rep Cheri Bustos,DC,US
1000.00,"BRAIN, CHARLES M",2013-06-25,Sen Michael Bennett,DC,US
1000.00,"BRAIN, CHARLES M",2013-03-19,Rep Sandy Levin,DC,US
500.00,"BRAIN, CHARLES M",2013-01-18,Rep. Ron Kind,DC,US
500.00,"BRAIN, CHARLES M",2013-03-15,Rep John Tierney,DC,US
500.00,"BRAIN, CHARLES M",2013-03-15,Rep John Barrow,DC,US
1000.00,"BRAIN, CHARLES M",2013-04-09,Rep Stephen Lynch,DC,US
500.00,"BRAIN, CHARLES M",2013-05-06,Rep Gabrielle Giffords,DC,US
1000.00,"BRAIN, CHARLES M",2013-05-07,Sen Ron Wyden,DC,US
500.00,"BRAIN, CHARLES M",2013-03-05,Rep Eliot Engel,DC,US
1000.00,"BRAIN, CHARLES M",2013-02-27,Sen. Mary Landrieu,DC,US
10000.00,AMERICAN FARM BUREAU FED,2013-05-14,Senator John Boozman; Representative Sam Farr,DC,US
500.00,SPECPAC,2013-04-30,Janet Napolitano,VA,US
300.00,SPECPAC,2013-04-25,Cong Ken Calvert,VA,US
1000.00,SPECPAC,2013-02-22,Cong Pete Visclosky,VA,US
1000.00,SPECPAC,2013-02-22,Cong Bill Young,VA,US
1000.00,"HOLMAN, SONIA",2013-02-26,Stephen Lynch,VA,US
250.00,"MCCARTIN, MUFTIAH",2013-03-08,Representative Denny Heck,DC,US
381.00,"MCCARTIN, MUFTIAH",2013-04-24,Representative Elizabeth Esty,DC,US
500.00,"MCCARTIN, MUFTIAH",2013-03-21,Representative Rosa L. Delauro,DC,US
250.00,"MCCARTIN, MUFTIAH",2013-03-20,Representative Grace Meng,DC,US
1000.00,"LINCOLN, BLANCHE",2013-07-23,Mark Pryor for U.S. Senate,VA,US
1000.00,"LINCOLN, BLANCHE",2013-07-17,Udall for Colorado,VA,US
1000.00,"LINCOLN, BLANCHE",2013-07-23,Ron Wyden for U.S. Senate,VA,US
250.00,"SIMMONS, VERNON N",2013-03-26,Congressman Tom Rice,DC,US
200.00,"SIMMONS, VERNON N",2013-06-10,Congresswoman Mary Landrieu,DC,US
2500000.00,"SHUSTER, ROBERT L",2013-06-06,Congressman Barletta,PA,US
2500.00,"SHUSTER, ROBERT L",2013-02-21,Congressman Hal Rogers,PA,US
500.00,"SHUSTER, ROBERT L",2013-06-05,Congressman Dent,PA,US
250.00,"SIMMONS, VERNON N",2013-03-26,Congressman Tom Rice,DC,US
200.00,"SIMMONS, VERNON N",2013-06-10,Senator Mary Landrieu,DC,US
5000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-01-16,Senator Heidi Heitkamp,VA,US
2500.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-13,U.S. Representative Bill Shuster,VA,US
500.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-04-23,Western PAC,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-06-11,U.S. Representative Jim Gerlach,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-03-18,Senator Mark Udall,VA,US
3000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-02-27,Senator Jim Inhofe,VA,US
