,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year
0,S000062,"Sarasin, Ronald A.",Republican,Connecticut,https://api.congress.gov/v3/member/S000062?format=json,5.0,,,1973,1979
1,B001305,"Budd, Ted",Republican,North Carolina,https://api.congress.gov/v3/member/B001305?format=json,,,2023,2017,2023
2,W000817,"Warren, Elizabeth",Democratic,Massachusetts,https://api.congress.gov/v3/member/W000817?format=json,,,2013,,
3,W000802,"Whitehouse, Sheldon",Democratic,Rhode Island,https://api.congress.gov/v3/member/W000802?format=json,,,2007,,
4,Y000064,"Young, Todd",Republican,Indiana,https://api.congress.gov/v3/member/Y000064?format=json,,,2017,2011,2017
5,W000800,"Welch, Peter",Democratic,Vermont,https://api.congress.gov/v3/member/W000800?format=json,,,2023,2007,2023
6,W000779,"Wyden, Ron",Democratic,Oregon,https://api.congress.gov/v3/member/W000779?format=json,,,1996,1981,1996
7,W000437,"Wicker, Roger F.",Republican,Mississippi,https://api.congress.gov/v3/member/W000437?format=json,,,2007,1995,2007
8,V000137,"Vance, J. D.",Republican,Ohio,https://api.congress.gov/v3/member/V000137?format=json,,,2023,,
9,W000790,"Warnock, Raphael G.",Democratic,Georgia,https://api.congress.gov/v3/member/W000790?format=json,,,2021,,
10,T000278,"Tuberville, Tommy",Republican,Alabama,https://api.congress.gov/v3/member/T000278?format=json,,,2021,,
11,T000476,"Tillis, Thomas",Republican,North Carolina,https://api.congress.gov/v3/member/T000476?format=json,,,2015,,
12,W000805,"Warner, Mark R.",Democratic,Virginia,https://api.congress.gov/v3/member/W000805?format=json,,,2009,,
13,T000250,"Thune, John",Republican,South Dakota,https://api.congress.gov/v3/member/T000250?format=json,,,2005,1997,2003
14,V000128,"Van Hollen, Chris",Democratic,Maryland,https://api.congress.gov/v3/member/V000128?format=json,,,2017,2003,2017
15,S001203,"Smith, Tina",Democratic,Minnesota,https://api.congress.gov/v3/member/S001203?format=json,,,2018,,
16,S001198,"Sullivan, Dan",Republican,Alaska,https://api.congress.gov/v3/member/S001198?format=json,,,2015,,
17,S001191,"Sinema, Kyrsten",Independent,Arizona,https://api.congress.gov/v3/member/S001191?format=json,,,2019,2013,2019
18,T000464,"Tester, Jon",Democratic,Montana,https://api.congress.gov/v3/member/T000464?format=json,,,2007,,
19,S001184,"Scott, Tim",Republican,South Carolina,https://api.congress.gov/v3/member/S001184?format=json,,,2013,2011,2013
20,S001181,"Shaheen, Jeanne",Democratic,New Hampshire,https://api.congress.gov/v3/member/S001181?format=json,,,2009,,
21,S000770,"Stabenow, Debbie",Democratic,Michigan,https://api.congress.gov/v3/member/S000770?format=json,,,2001,1997,2001
22,S001227,"Schmitt, Eric",Republican,Missouri,https://api.congress.gov/v3/member/S001227?format=json,,,2023,,
23,S001217,"Scott, Rick",Republican,Florida,https://api.congress.gov/v3/member/S001217?format=json,,,2019,,
24,S001194,"Schatz, Brian",Democratic,Hawaii,https://api.congress.gov/v3/member/S001194?format=json,,,2012,,
25,R000595,"Rubio, Marco",Republican,Florida,https://api.congress.gov/v3/member/R000595?format=json,,,2011,,
26,S000148,"Schumer, Charles E.",Democratic,New York,https://api.congress.gov/v3/member/S000148?format=json,,,1999,1981,1999
27,S000033,"Sanders, Bernard",Independent,Vermont,https://api.congress.gov/v3/member/S000033?format=json,,,2007,1991,2007
28,R000618,"Ricketts, Pete",Republican,Nebraska,https://api.congress.gov/v3/member/R000618?format=json,,,2023,,
29,R000615,"Romney, Mitt",Republican,Utah,https://api.congress.gov/v3/member/R000615?format=json,,,2019,,
30,R000608,"Rosen, Jacky",Democratic,Nevada,https://api.congress.gov/v3/member/R000608?format=json,,,2019,2017,2019
31,R000605,"Rounds, Mike",Republican,South Dakota,https://api.congress.gov/v3/member/R000605?format=json,,,2015,,
32,P000595,"Peters, Gary C.",Democratic,Michigan,https://api.congress.gov/v3/member/P000595?format=json,,,2015,2009,2015
33,R000584,"Risch, James E.",Republican,Idaho,https://api.congress.gov/v3/member/R000584?format=json,,,2009,,
34,R000122,"Reed, Jack",Democratic,Rhode Island,https://api.congress.gov/v3/member/R000122?format=json,,,1997,1991,1997
35,P000145,"Padilla, Alex",Democratic,California,https://api.congress.gov/v3/member/P000145?format=json,,,2021,,
36,O000174,"Ossoff, Jon",Democratic,Georgia,https://api.congress.gov/v3/member/O000174?format=json,,,2021,,
37,M001190,"Mullin, Markwayne",Republican,Oklahoma,https://api.congress.gov/v3/member/M001190?format=json,,,2023,2013,2023
38,P000603,"Paul, Rand",Republican,Kentucky,https://api.congress.gov/v3/member/P000603?format=json,,,2011,,
39,M001169,"Murphy, Christopher",Democratic,Connecticut,https://api.congress.gov/v3/member/M001169?format=json,,,2013,2007,2013
40,M001111,"Murray, Patty",Democratic,Washington,https://api.congress.gov/v3/member/M001111?format=json,,,1993,,
41,M001153,"Murkowski, Lisa",Republican,Alaska,https://api.congress.gov/v3/member/M001153?format=json,,,2003,,
42,M001198,"Marshall, Roger",Republican,Kansas,https://api.congress.gov/v3/member/M001198?format=json,,,2021,2017,2021
43,M001176,"Merkley, Jeff",Democratic,Oregon,https://api.congress.gov/v3/member/M001176?format=json,,,2009,,
44,M000934,"Moran, Jerry",Republican,Kansas,https://api.congress.gov/v3/member/M000934?format=json,,,2011,1997,2011
45,M000639,"Menendez, Robert",Democratic,New Jersey,https://api.congress.gov/v3/member/M000639?format=json,,,2006,1993,2006
46,M000133,"Markey, Edward J.",Democratic,Massachusetts,https://api.congress.gov/v3/member/M000133?format=json,,,2013,1977,2013
47,M000355,"McConnell, Mitch",Republican,Kentucky,https://api.congress.gov/v3/member/M000355?format=json,,,1985,,
48,K000393,"Kennedy, John",Republican,Louisiana,https://api.congress.gov/v3/member/K000393?format=json,,,2017,,
49,K000383,"King, Angus S., Jr.",Independent,Maine,https://api.congress.gov/v3/member/K000383?format=json,,,2013,,
50,K000367,"Klobuchar, Amy",Democratic,Minnesota,https://api.congress.gov/v3/member/K000367?format=json,,,2007,,
51,L000577,"Lee, Mike",Republican,Utah,https://api.congress.gov/v3/member/L000577?format=json,,,2011,,
52,M001183,"Manchin, Joe, III",Democratic,West Virginia,https://api.congress.gov/v3/member/M001183?format=json,,,2010,,
53,L000575,"Lankford, James",Republican,Oklahoma,https://api.congress.gov/v3/member/L000575?format=json,,,2015,2011,2015
