,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
0,B001305,"Budd, Ted",Republican,North Carolina,,,2023.0,2017.0,2023.0,Y,N,0.0,6.0,Y,Y,,,Budd,Ted,
1,W000817,"Warren, Elizabeth",Democratic,Massachusetts,,,2013.0,,,Y,,10.0,,Y,N,,,Warren,Elizabeth,
2,W000802,"Whitehouse, Sheldon",Democratic,Rhode Island,,,2007.0,,,Y,,16.0,,Y,N,,,Whitehouse,Sheldon,
3,Y000064,"Young, Todd",Republican,Indiana,,,2017.0,2011.0,2017.0,Y,N,6.0,6.0,Y,Y,,,Young,Todd,
4,W000800,"Welch, Peter",Democratic,Vermont,,,2023.0,2007.0,2023.0,Y,N,0.0,16.0,Y,Y,,,Welch,Peter,
5,W000779,"Wyden, Ron",Democratic,Oregon,,,1996.0,1981.0,1996.0,Y,N,27.0,15.0,Y,Y,,,Wyden,Ron,
6,W000437,"Wicker, Roger F.",Republican,Mississippi,,,2007.0,1995.0,2007.0,Y,N,16.0,12.0,Y,Y,,,Wicker,Roger,F.
7,V000137,"Vance, J. D.",Republican,Ohio,,,2023.0,,,Y,,0.0,,Y,N,,,Vance,J.,D.
8,W000790,"Warnock, Raphael G.",Democratic,Georgia,,,2021.0,,,Y,,2.0,,Y,N,,,Warnock,Raphael,G.
9,T000278,"Tuberville, Tommy",Republican,Alabama,,,2021.0,,,Y,,2.0,,Y,N,,,Tuberville,Tommy,
10,T000476,"Tillis, Thomas",Republican,North Carolina,,,2015.0,,,Y,,8.0,,Y,N,,,Tillis,Thomas,
11,W000805,"Warner, Mark R.",Democratic,Virginia,,,2009.0,,,Y,,14.0,,Y,N,,,Warner,Mark,R.
12,T000250,"Thune, John",Republican,South Dakota,,,2005.0,1997.0,2003.0,Y,N,18.0,6.0,Y,Y,,,Thune,John,
13,V000128,"Van Hollen, Chris",Democratic,Maryland,,,2017.0,2003.0,2017.0,Y,N,6.0,14.0,Y,Y,,,Van Hollen,Chris,
14,S001203,"Smith, Tina",Democratic,Minnesota,,,2018.0,,,Y,,5.0,,Y,N,,,Smith,Tina,
15,S001198,"Sullivan, Dan",Republican,Alaska,,,2015.0,,,Y,,8.0,,Y,N,,,Sullivan,Dan,
16,S001191,"Sinema, Kyrsten",Independent,Arizona,,,2019.0,2013.0,2019.0,Y,N,4.0,6.0,Y,Y,,,Sinema,Kyrsten,
17,T000464,"Tester, Jon",Democratic,Montana,,,2007.0,,,Y,,16.0,,Y,N,,,Tester,Jon,
18,S001184,"Scott, Tim",Republican,South Carolina,,,2013.0,2011.0,2013.0,Y,N,10.0,2.0,Y,Y,,,Scott,Tim,
19,S001181,"Shaheen, Jeanne",Democratic,New Hampshire,,,2009.0,,,Y,,14.0,,Y,N,,,Shaheen,Jeanne,
20,S000770,"Stabenow, Debbie",Democratic,Michigan,,,2001.0,1997.0,2001.0,Y,N,22.0,4.0,Y,Y,,,Stabenow,Debbie,
21,S001227,"Schmitt, Eric",Republican,Missouri,,,2023.0,,,Y,,0.0,,Y,N,,,Schmitt,Eric,
22,S001217,"Scott, Rick",Republican,Florida,,,2019.0,,,Y,,4.0,,Y,N,,,Scott,Rick,
23,S001194,"Schatz, Brian",Democratic,Hawaii,,,2012.0,,,Y,,11.0,,Y,N,,,Schatz,Brian,
24,R000595,"Rubio, Marco",Republican,Florida,,,2011.0,,,Y,,12.0,,Y,N,,,Rubio,Marco,
25,S000148,"Schumer, Charles E.",Democratic,New York,,,1999.0,1981.0,1999.0,Y,N,24.0,18.0,Y,Y,,,Schumer,Charles,E.
26,S000033,"Sanders, Bernard",Independent,Vermont,,,2007.0,1991.0,2007.0,Y,N,16.0,16.0,Y,Y,,,Sanders,Bernard,
27,R000618,"Ricketts, Pete",Republican,Nebraska,,,2023.0,,,Y,,0.0,,Y,N,,,Ricketts,Pete,
28,R000615,"Romney, Mitt",Republican,Utah,,,2019.0,,,Y,,4.0,,Y,N,,,Romney,Mitt,
29,R000608,"Rosen, Jacky",Democratic,Nevada,,,2019.0,2017.0,2019.0,Y,N,4.0,2.0,Y,Y,,,Rosen,Jacky,
30,R000605,"Rounds, Mike",Republican,South Dakota,,,2015.0,,,Y,,8.0,,Y,N,,,Rounds,Mike,
31,P000595,"Peters, Gary C.",Democratic,Michigan,,,2015.0,2009.0,2015.0,Y,N,8.0,6.0,Y,Y,,,Peters,Gary,C.
32,R000584,"Risch, James E.",Republican,Idaho,,,2009.0,,,Y,,14.0,,Y,N,,,Risch,James,E.
33,R000122,"Reed, Jack",Democratic,Rhode Island,,,1997.0,1991.0,1997.0,Y,N,26.0,6.0,Y,Y,,,Reed,Jack,
34,P000145,"Padilla, Alex",Democratic,California,,,2021.0,,,Y,,2.0,,Y,N,,,Padilla,Alex,
35,O000174,"Ossoff, Jon",Democratic,Georgia,,,2021.0,,,Y,,2.0,,Y,N,,,Ossoff,Jon,
36,M001190,"Mullin, Markwayne",Republican,Oklahoma,,,2023.0,2013.0,2023.0,Y,N,0.0,10.0,Y,Y,,,Mullin,Markwayne,
37,P000603,"Paul, Rand",Republican,Kentucky,,,2011.0,,,Y,,12.0,,Y,N,,,Paul,Rand,
38,M001169,"Murphy, Christopher",Democratic,Connecticut,,,2013.0,2007.0,2013.0,Y,N,10.0,6.0,Y,Y,,,Murphy,Christopher,
39,M001111,"Murray, Patty",Democratic,Washington,,,1993.0,,,Y,,30.0,,Y,N,,,Murray,Patty,
40,M001153,"Murkowski, Lisa",Republican,Alaska,,,2003.0,,,Y,,20.0,,Y,N,,,Murkowski,Lisa,
41,M001198,"Marshall, Roger",Republican,Kansas,,,2021.0,2017.0,2021.0,Y,N,2.0,4.0,Y,Y,,,Marshall,Roger,
42,M001176,"Merkley, Jeff",Democratic,Oregon,,,2009.0,,,Y,,14.0,,Y,N,,,Merkley,Jeff,
43,M000934,"Moran, Jerry",Republican,Kansas,,,2011.0,1997.0,2011.0,Y,N,12.0,14.0,Y,Y,,,Moran,Jerry,
44,M000639,"Menendez, Robert",Democratic,New Jersey,,,2006.0,1993.0,2006.0,Y,N,17.0,13.0,Y,Y,,,Menendez,Robert,
45,M000133,"Markey, Edward J.",Democratic,Massachusetts,,,2013.0,1977.0,2013.0,Y,N,10.0,36.0,Y,Y,,,Markey,Edward,J.
46,M000355,"McConnell, Mitch",Republican,Kentucky,,,1985.0,,,Y,,38.0,,Y,N,,,McConnell,Mitch,
47,K000393,"Kennedy, John",Republican,Louisiana,,,2017.0,,,Y,,6.0,,Y,N,,,Kennedy,John,
48,K000383,"King, Angus S., ",Independent,Maine,,,2013.0,,,Y,,10.0,,Y,N,Jr.,,King,Angus,S.
49,K000367,"Klobuchar, Amy",Democratic,Minnesota,,,2007.0,,,Y,,16.0,,Y,N,,,Klobuchar,Amy,
50,L000577,"Lee, Mike",Republican,Utah,,,2011.0,,,Y,,12.0,,Y,N,,,Lee,Mike,
51,M001183,"Manchin, Joe, ",Democratic,West Virginia,,,2010.0,,,Y,,13.0,,Y,N,III,,Manchin,Joe,
52,L000575,"Lankford, James",Republican,Oklahoma,,,2015.0,2011.0,2015.0,Y,N,8.0,4.0,Y,Y,,,Lankford,James,
53,L000571,"Lummis, Cynthia M.",Republican,Wyoming,,,2021.0,2009.0,2017.0,Y,N,2.0,8.0,Y,Y,,,Lummis,Cynthia,M.
54,L000570,"Lujan, Ben Ray",Democratic,New Mexico,,,2021.0,2009.0,2021.0,Y,N,2.0,12.0,Y,Y,,,Lujan,Ben,Ray
