,Unnamed: 0,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle,First Last,2013 Contributions,2014 Contributions,2015 Contributions,2016 Contributions,2017 Contributions,2018 Contributions,2019 Contributions,2020 Contributions,2021 Contributions,2022 Contributions,Total Contributions 2013-2022
0,0,B001305,"Budd, Ted",Republican,North Carolina,,,2023.0,2017.0,2023.0,Y,N,0.0,6.0,Y,Y,,,Budd,Ted,,Ted Budd,0.0,0.0,0.0,25759.5,71475.0,121167.26,122832.44,115319.0,85040.0,617763.9,1159357.1
1,1,W000817,"Warren, Elizabeth",Democratic,Massachusetts,,,2013.0,,,Y,,10.0,,Y,N,,,Warren,Elizabeth,,Elizabeth Warren,41000.0,59600.0,105158.81,120439.03,197290.24,91004.55,21483.61,15893.349999999999,10000.0,0.0,661869.59
2,2,W000802,"Whitehouse, Sheldon",Democratic,Rhode Island,,,2007.0,,,Y,,16.0,,Y,N,,,Whitehouse,Sheldon,,Sheldon Whitehouse,148056.65000000002,214710.77000000002,262836.85,228049.75,541347.47,688087.1000000001,126452.72,47500.0,115500.0,123350.0,2495891.31
3,3,Y000064,"Young, Todd",Republican,Indiana,,,2017.0,2011.0,2017.0,Y,N,6.0,6.0,Y,Y,,,Young,Todd,,Todd Young,233891.22,265122.15,543396.59,971535.0,242447.54,258472.05,574320.0,480184.0,1054659.29,1133276.54,5757304.38
4,4,W000800,"Welch, Peter",Democratic,Vermont,,,2023.0,2007.0,2023.0,Y,N,0.0,16.0,Y,Y,,,Welch,Peter,,Peter Welch,274750.0,228650.0,222600.0,211532.2,176490.63,184071.5,142045.18,165732.0,223171.83000000002,487716.58,2316759.92
5,5,W000779,"Wyden, Ron",Democratic,Oregon,,,1996.0,1981.0,1996.0,Y,N,27.0,15.0,Y,Y,,,Wyden,Ron,,Ron Wyden,915683.1,1666936.65,990786.4299999999,964013.7100000001,341394.14,293604.49,208637.72,426700.0,1114016.98,1031343.3699999999,7953116.589999999
6,6,W000437,"Wicker, Roger F.",Republican,Mississippi,,,2007.0,1995.0,2007.0,Y,N,16.0,12.0,Y,Y,,,Wicker,Roger,F.,Roger Wicker,141250.0,147603.34,328637.04000000004,239322.82,659331.1200000001,767177.46,479760.35,244134.0,413746.0,670867.44,4091829.5700000003
7,7,V000137,"Vance, J. D.",Republican,Ohio,,,2023.0,,,Y,,0.0,,Y,N,,,Vance,J.,D.,J. Vance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50400.0,308625.0,359025.0
8,8,W000790,"Warnock, Raphael G.",Democratic,Georgia,,,2021.0,,,Y,,2.0,,Y,N,,,Warnock,Raphael,G.,Raphael Warnock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512588.78,518799.51,1135866.2599999998,2167254.55
9,9,T000278,"Tuberville, Tommy",Republican,Alabama,,,2021.0,,,Y,,2.0,,Y,N,,,Tuberville,Tommy,,Tommy Tuberville,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,258100.0,87550.0,65114.0,417764.0
